조건,다음날상승확률(%),발생횟수,기준선대비(%p),평균수익(%)
"RSI과매수70 + 양봉1 + 양봉2",53.8,277,2.7,0.54
"RSI과매수70 + 양봉2",53.8,277,2.7,0.54
"5_20상향",53.8,119,2.7,0.07
"20위 + 음봉1 + 음봉3",53.8,119,2.7,0.20
"20위 + 음봉2 + 음봉3",53.8,119,2.7,0.20
"20위 + 음봉3",53.8,119,2.7,0.20
"20아래 + 3%상승 + 60아래",53.8,119,2.7,0.61
"3%상승 + 갭상승2 + 종가상승2",53.8,106,2.7,0.73
"5일+15% + 60위 + 양봉1",53.8,106,2.7,0.45
"20고점 + RSI과매수80 + 양봉1",53.8,106,2.7,0.40
"고변동5 + 양봉1 + 이격-5",53.8,106,2.7,0.89
"RSI과매수70 + 갭상승1 + 고변동5",53.8,93,2.7,0.09
"20위 + RSI과매수70 + 이격+5",53.8,692,2.7,0.47
"RSI과매수70 + 이격+5",53.8,692,2.7,0.47
"60위 + RSI과매수80 + 종가상승2",53.8,160,2.7,0.42
"갭하락1 + 갭하락2",53.8,320,2.7,0.19
"갭하락2",53.8,320,2.7,0.19
"20위 + 5_10하향",53.8,80,2.7,0.18
"음봉1 + 이격+5 + 종가상승2",53.8,80,2.7,0.87
"3%상승 + 3일+10% + 5일+15%",53.7,67,2.6,0.82
"갭상승2 + 이격+5 + 종가상승3",53.7,67,2.6,0.83
"20아래 + 3%하락 + 이격-5",53.7,255,2.6,0.62
"3%하락 + 이격-5",53.7,255,2.6,0.62
"20위 + 음봉1",53.7,873,2.6,0.30
"3%상승 + 이격+5 + 종가상승3",53.7,121,2.6,0.63
"10_20하향 + 60위",53.7,54,2.6,-0.18
"20위 + 3일+10% + 갭상승1",53.7,108,2.6,0.45
"3%상승 + 3일+10% + 이격+5",53.7,108,2.6,0.70
"거래량1.5 + 고변동8 + 이격+5",53.7,54,2.6,0.32
"5%하락 + 고변동8 + 이격-5",53.7,54,2.6,1.23
"5_10상향 + 양봉2 + 종가상승2",53.7,54,2.6,0.24
"20위 + 5_10상향 + 양봉2",53.7,54,2.6,0.09
"갭상승2 + 음봉1 + 이격-5",53.7,54,2.6,0.60
"5일+15% + 60위 + 이격+5",53.7,149,2.6,0.83
"3일+10% + 갭상승1 + 종가상승2",53.7,95,2.6,0.64
"60아래 + 음봉1 + 음봉3",53.7,272,2.6,0.02
"60아래 + 음봉2 + 음봉3",53.7,272,2.6,0.02
"60아래 + 음봉3",53.7,272,2.6,0.02
"5일+15%",53.7,177,2.6,0.83
"60위 + 이격+10 + 종가상승2",53.7,259,2.6,0.58
"20위 + 갭상승1 + 종가상승3",53.7,164,2.6,0.49
"20아래 + 60위 + 고변동5",53.7,123,2.6,0.10
"10일+20% + 7%상승 + 갭상승1",53.7,41,2.6,0.80
"20위 + RSI과매수80 + 양봉1",53.7,205,2.6,0.43
"3일+10% + 고변동5 + 고변동8",53.7,41,2.6,0.82
"3일+10% + 고변동8",53.7,41,2.6,0.82
"5일+15% + 7%상승 + 고변동5",53.7,41,2.6,0.54
"5일+15% + 7%상승 + 양봉1",53.7,41,2.6,0.34
"RSI과매수70 + RSI과매수80 + 양봉1",53.7,205,2.6,0.43
"RSI과매수80 + 갭상승2 + 종가상승2",53.7,41,2.6,0.44
"RSI과매수80 + 양봉1",53.7,205,2.6,0.43
"5%상승 + 50고점 + RSI과매수70",53.7,41,2.6,0.34
"20아래 + 음봉1 + 종가하락4",53.7,123,2.6,0.41
"갭하락1 + 음봉1 + 종가하락4",53.7,41,2.6,-0.15
"3일+10% + 갭상승1 + 음봉1",53.7,41,2.6,1.52
"5%상승 + 갭상승2 + 종가상승3",53.7,41,2.6,0.51
"20아래 + 이격-10",53.6,302,2.5,0.29
"20아래 + 이격-10 + 이격-5",53.6,302,2.5,0.29
"이격-10",53.6,302,2.5,0.29
"이격-10 + 이격-5",53.6,302,2.5,0.29
"60위 + 종가하락2",53.6,371,2.5,0.24
"20위 + 5_20상향",53.6,110,2.5,0.08
"50고점 + RSI과매수70 + 이격+10",53.6,110,2.5,0.56
"3%상승 + 3일+10% + 갭상승2",53.6,69,2.5,0.81
"3일+10% + RSI과매수70 + 갭상승1",53.6,69,2.5,0.62
"5%상승 + RSI과매수70 + 고변동5",53.6,69,2.5,0.47
"RSI과매수70 + 갭상승2 + 양봉1",53.6,69,2.5,0.46
"3%하락 + 갭하락2 + 음봉1",53.6,138,2.5,0.31
"갭하락1 + 고변동5 + 이격+5",53.6,69,2.5,0.00
"60위 + 고변동5 + 종가상승2",53.6,166,2.5,0.22
"60아래 + RSI과매도30 + 종가하락3",53.6,97,2.5,0.18
"20위 + 3%상승 + RSI과매수70",53.6,194,2.5,0.69
"3%상승 + RSI과매수70",53.6,194,2.5,0.69
"3%상승 + RSI과매수70 + 이격+5",53.6,194,2.5,0.69
"양봉3 + 이격+10 + 종가상승3",53.6,97,2.5,0.43
"20아래 + 5%하락 + 음봉1",53.6,153,2.5,0.84
"종가하락2",53.6,868,2.5,0.20
"20위 + 3%상승 + 종가상승3",53.6,140,2.5,0.72
"10일+20% + 5일+15% + 양봉2",53.6,56,2.5,0.26
"20위 + 5일+15%",53.6,168,2.5,0.79
"3일+10% + 7%상승 + 갭상승1",53.6,56,2.5,0.66
"RSI과매수70 + 양봉3 + 이격+10",53.6,112,2.5,0.67
"60위 + 음봉3 + 종가하락2",53.6,112,2.5,0.20
"60위 + 양봉1 + 이격+10",53.6,351,2.5,0.54
"60위 + 양봉2 + 이격+10",53.6,211,2.5,0.44
"RSI과매수70 + 갭상승1 + 음봉1",53.5,99,2.4,0.31
"60아래 + 종가하락2",53.5,497,2.4,0.16
"20위 + 5일+15% + RSI과매수80",53.5,71,2.4,0.91
"5일+15% + RSI과매수70 + RSI과매수80",53.5,71,2.4,0.91
"5일+15% + RSI과매수70 + 종가상승2",53.5,71,2.4,1.38
"5일+15% + RSI과매수80",53.5,71,2.4,0.91
"5일+15% + RSI과매수80 + 이격+10",53.5,71,2.4,0.91
"5일+15% + RSI과매수80 + 이격+5",53.5,71,2.4,0.91
"20위 + 60위 + RSI과매수70",53.5,714,2.4,0.46
"60위 + RSI과매수70",53.5,714,2.4,0.46
"20아래 + 3%하락 + 고변동5",53.5,258,2.4,0.60
"3%상승 + RSI과매수80 + 양봉1",53.5,86,2.4,0.30
"3%상승 + 갭상승1 + 이격+10",53.5,129,2.4,0.52
"3일+10% + RSI과매수70 + 양봉1",53.5,86,2.4,1.05
"갭상승1 + 고변동5 + 음봉2",53.5,86,2.4,0.17
"3일+10% + 50고점 + 양봉1",53.5,43,2.4,1.02
"3%하락 + RSI과매도30 + 음봉3",53.5,43,2.4,0.37
"7%하락 + 고변동5 + 이격-10",53.5,43,2.4,1.20
"7%하락 + 음봉1 + 이격-10",53.5,43,2.4,1.07
"20아래 + 60아래 + 음봉3",53.5,260,2.4,0.06
"60위 + 거래량1.5 + 고변동5",53.5,159,2.4,0.56
"20아래 + 거래량1.5 + 고변동8",53.4,58,2.3,0.46
"20고점 + 갭상승1 + 양봉2",53.4,58,2.3,0.57
"갭하락1 + 종가하락2",53.4,290,2.3,0.11
"20위 + 음봉2 + 이격+5",53.4,131,2.3,0.55
"음봉1 + 음봉2 + 이격+5",53.4,131,2.3,0.55
"음봉2 + 이격+5",53.4,131,2.3,0.55
"3%상승 + 50고점 + 종가상승2",53.4,73,2.3,0.34
"3%하락 + 갭하락1 + 이격-10",53.4,73,2.3,0.36
"3%하락 + 갭하락2 + 음봉2",53.4,73,2.3,0.31
"3%하락 + 갭하락1 + 음봉3",53.4,73,2.3,0.20
"20위 + 거래량절반",53.4,88,2.3,0.28
"5%상승 + 고변동5 + 이격+10",53.4,88,2.3,0.27
"20고점 + RSI과매수80 + 이격+10",53.4,88,2.3,0.41
"20고점 + 갭상승1 + 이격+5",53.4,88,2.3,0.51
"60위 + RSI과매수70 + 이격+5",53.4,661,2.3,0.46
"60아래 + 음봉1 + 종가하락2",53.4,412,2.3,0.16
"5%상승 + 갭상승1 + 종가상승2",53.4,103,2.3,0.48
"음봉1 + 음봉2 + 음봉3",53.4,472,2.3,0.10
"음봉1 + 음봉3",53.4,472,2.3,0.10
"음봉2 + 음봉3",53.4,472,2.3,0.10
"음봉3",53.4,472,2.3,0.10
"거래량1.5 + 고변동5 + 고변동8",53.4,118,2.3,0.45
"거래량1.5 + 고변동8",53.4,118,2.3,0.45
"20위 + 3%상승 + 3일+10%",53.4,118,2.3,0.78
"고변동5 + 음봉1 + 음봉2",53.4,281,2.3,0.32
"고변동5 + 음봉2",53.4,281,2.3,0.32
"갭상승1 + 이격+10 + 종가상승2",53.4,148,2.3,0.60
"20위 + 음봉2 + 종가하락2",53.4,163,2.3,-0.04
"20위 + RSI과매수80 + 이격+5",53.4,283,2.3,0.36
"RSI과매수70 + RSI과매수80 + 이격+5",53.4,283,2.3,0.36
"RSI과매수80 + 이격+5",53.4,283,2.3,0.36
"20아래 + 60아래 + 이격-10",53.4,283,2.3,0.28
"60아래 + 이격-10",53.4,283,2.3,0.28
"60아래 + 이격-10 + 이격-5",53.4,283,2.3,0.28
"갭상승1 + 종가상승2",53.4,388,2.3,0.55
"3%상승 + 갭상승2 + 종가상승3",53.3,60,2.2,0.67
"20아래 + 3%하락 + 거래량2",53.3,45,2.2,1.08
"20위 + 5_10상향 + 양봉1",53.3,90,2.2,0.41
"10일+20% + 갭상승2 + 양봉2",53.3,30,2.2,0.29
"20위 + 5%상승 + RSI과매수70",53.3,90,2.2,0.71
"20위 + 거래량1.5 + 고변동8",53.3,60,2.2,0.45
"3%상승 + 3일+10% + 갭상승1",53.3,90,2.2,0.48
"3%상승 + 5%상승 + RSI과매수70",53.3,90,2.2,0.71
"3일+10% + 7%상승 + 갭상승2",53.3,45,2.2,1.08
"3일+10% + 갭상승1 + 갭상승2",53.3,90,2.2,0.88
"3일+10% + 갭상승2",53.3,90,2.2,0.88
"3일+10% + 갭상승2 + 이격+10",53.3,60,2.2,0.70
"5%상승 + RSI과매수70",53.3,90,2.2,0.71
"5%상승 + RSI과매수70 + 이격+5",53.3,90,2.2,0.71
"7%상승 + 이격+10 + 종가상승2",53.3,45,2.2,0.88
"10일+20% + 50고점 + 양봉2",53.3,45,2.2,0.58
"10일+20% + 갭상승1 + 종가상승3",53.3,60,2.2,0.29
"5%상승 + 50고점 + 이격+10",53.3,45,2.2,0.21
"50고점 + 갭상승1 + 양봉2",53.3,45,2.2,0.35
"RSI과매수80 + 갭상승1 + 종가상승3",53.3,60,2.2,0.19
"10일+20% + 양봉4 + 종가상승2",53.3,30,2.2,-0.22
"5%하락 + 60위 + 음봉2",53.3,30,2.2,0.89
"5_10하향 + 60위 + 갭하락1",53.3,30,2.2,0.20
"갭하락2 + 거래량1.5 + 고변동8",53.3,30,2.2,0.06
"7%하락 + 갭하락2 + 이격-10",53.3,30,2.2,0.86
"5_10상향 + 양봉3 + 종가상승2",53.3,30,2.2,0.05
"3%상승 + 5_20상향 + 양봉1",53.3,30,2.2,-0.13
"20저점 + 60아래 + 이격-10",53.3,60,2.2,0.41
"60아래 + 7%하락 + RSI과매도30",53.3,30,2.2,1.14
"3일+10% + 60아래 + 종가상승3",53.3,30,2.2,0.93
"RSI과매도20 + 갭하락1 + 이격-10",53.3,30,2.2,0.01
"60아래 + 갭하락1 + 갭하락2",53.3,182,2.2,0.28
"60아래 + 갭하락2",53.3,182,2.2,0.28
"60위 + 갭상승2 + 음봉1",53.3,122,2.2,0.72
"20위 + 60위 + 음봉3",53.3,107,2.2,0.32
"20아래 + 고변동8 + 이격-5",53.3,107,2.2,0.83
"고변동5 + 고변동8 + 이격-5",53.3,107,2.2,0.83
"고변동8 + 이격-5",53.3,107,2.2,0.83
"3%상승 + 60위 + 이격+10",53.3,199,2.2,0.52
"5일+15% + 갭상승1",53.3,92,2.2,0.66
"20아래 + 음봉1 + 음봉3",53.3,353,2.2,0.06
"20아래 + 음봉2 + 음봉3",53.3,353,2.2,0.06
"20아래 + 음봉3",53.3,353,2.2,0.06
"5_20상향 + 양봉1",53.2,77,2.1,-0.05
"5일+15% + 60위 + 갭상승1",53.2,77,2.1,0.36
"3일+10% + 고변동5 + 종가상승3",53.2,77,2.1,0.26
"3일-10% + 음봉3 + 종가하락2",53.2,77,2.1,0.12
"3%하락 + 음봉1",53.2,524,2.1,0.43
"60위 + 음봉1",53.2,1005,2.1,0.23
"3%상승 + 60위 + RSI과매수70",53.2,186,2.1,0.59
"10일+20% + 거래량1.5 + 고변동5",53.2,62,2.1,0.45
"20고점 + 50고점 + 이격+10",53.2,124,2.1,0.55
"20위 + 50고점 + 이격+10",53.2,124,2.1,0.55
"50고점 + 60위 + 이격+10",53.2,124,2.1,0.55
"50고점 + 이격+10",53.2,124,2.1,0.55
"50고점 + 이격+10 + 이격+5",53.2,124,2.1,0.55
"20아래 + 갭상승1 + 종가하락2",53.2,62,2.1,-0.27
"3%상승 + RSI과매수70 + 고변동5",53.2,109,2.1,0.45
"3%하락 + 음봉1 + 음봉2",53.2,265,2.1,0.46
"3%하락 + 음봉2",53.2,265,2.1,0.46
"5_10상향 + 고변동5",53.2,47,2.1,0.30
"RSI과매도30 + 음봉4 + 종가하락2",53.2,47,2.1,-0.25
"10일+20% + 갭상승2 + 종가상승2",53.2,47,2.1,0.79
"5일+15% + RSI과매수80 + 종가상승2",53.2,47,2.1,1.26
"5일+15% + 고변동5 + 양봉2",53.2,47,2.1,-0.09
"10일+20% + 20고점 + RSI과매수80",53.2,47,2.1,0.48
"20위 + 음봉2 + 종가하락3",53.2,47,2.1,-0.35
"3%하락 + 7%하락 + 음봉2",53.2,47,2.1,1.22
"5%하락 + 7%하락 + 음봉2",53.2,47,2.1,1.22
"7%하락 + 음봉1 + 음봉2",53.2,47,2.1,1.22
"7%하락 + 음봉2",53.2,47,2.1,1.22
"20아래 + 갭상승1 + 고변동5",53.2,141,2.1,0.47
"20아래 + 거래량1.5 + 양봉1",53.2,47,2.1,1.01
"20아래 + 5%상승 + 60아래",53.2,47,2.1,0.42
"거래량1.5 + 이격+10 + 종가상승3",53.2,47,2.1,0.55
"3%상승 + 종가상승2",53.2,314,2.1,0.54
"3일+10% + 5%상승 + 고변동5",53.2,79,2.1,0.47
"갭하락1 + 갭하락2 + 음봉2",53.2,79,2.1,0.08
"갭하락2 + 음봉1 + 음봉2",53.2,79,2.1,0.08
"갭하락2 + 음봉2",53.2,79,2.1,0.08
"60아래 + 음봉2 + 종가하락2",53.2,348,2.1,0.00
"20아래 + 3%상승 + 갭상승1",53.2,111,2.1,0.39
"60위 + 갭상승2 + 고변동5",53.2,111,2.1,-0.02
"20위 + 3일+10% + 이격+5",53.1,175,2.0,0.87
"3일+10% + 이격+5",53.1,175,2.0,0.87
"10_20하향 + 음봉1 + 종가하락2",53.1,32,2.0,0.33
"20위 + 5_10상향 + 고변동5",53.1,32,2.0,0.37
"3일+10% + 5%상승 + RSI과매수80",53.1,32,2.0,0.77
"3일+10% + 5일+15% + 60위",53.1,96,2.0,0.83
"3일+10% + 거래량1.5 + 고변동8",53.1,32,2.0,0.87
"5일+15% + 갭상승1 + 갭상승2",53.1,64,2.0,0.88
"5일+15% + 갭상승2",53.1,64,2.0,0.88
"RSI과매수80 + 갭상승2 + 고변동5",53.1,32,2.0,-0.45
"7%상승 + 갭상승1 + 종가상승3",53.1,32,2.0,0.66
"3%하락 + 7%하락 + 갭하락2",53.1,64,2.0,0.65
"5%하락 + 7%하락 + 갭하락2",53.1,64,2.0,0.65
"7%하락 + 갭하락1 + 갭하락2",53.1,64,2.0,0.65
"7%하락 + 갭하락2",53.1,64,2.0,0.65
"7%하락 + 이격-10 + 종가하락2",53.1,32,2.0,0.80
"20아래 + 5%상승 + 종가상승2",53.1,32,2.0,0.98
"5_10하향 + 음봉1 + 이격-5",53.1,32,2.0,0.92
"20아래 + 20저점 + 고변동5",53.1,64,2.0,0.84
"20저점 + 고변동5",53.1,64,2.0,0.84
"갭하락1 + 음봉3 + 이격-5",53.1,64,2.0,0.19
"갭하락2 + 양봉1 + 종가하락2",53.1,64,2.0,0.11
"20위 + 5_20상향 + 음봉1",53.1,32,2.0,0.31
"갭상승2 + 음봉2 + 이격-5",53.1,32,2.0,0.62
"5_10상향 + 갭상승1 + 양봉1",53.1,32,2.0,0.11
"갭하락1 + 양봉2 + 이격+10",53.1,32,2.0,0.87
"5%상승 + 양봉3 + 종가상승3",53.1,32,2.0,0.07
"20위 + RSI과매수70 + 갭상승1",53.1,241,2.0,0.34
"RSI과매수70 + 갭상승1",53.1,241,2.0,0.34
"60아래 + 고변동5 + 이격-5",53.1,307,2.0,0.54
"50고점 + RSI과매수70 + 종가상승3",53.1,81,2.0,0.61
"20아래 + 3일-10% + 갭하락1",53.1,81,2.0,0.62
"갭하락1 + 거래량1.5 + 거래량2",53.1,49,2.0,0.79
"갭하락1 + 거래량2",53.1,49,2.0,0.79
"20아래 + 고변동8 + 음봉1",53.1,98,2.0,0.58
"10_20상향 + 20위 + 양봉1",53.1,49,2.0,0.50
"10일+20% + 3일+10% + 거래량1.5",53.1,49,2.0,0.20
"10일+20% + 3일+10% + 양봉2",53.1,49,2.0,0.40
"5일+15% + RSI과매수70 + 갭상승2",53.1,49,2.0,1.09
"3%상승 + 50고점 + 갭상승1",53.1,49,2.0,0.52
"3일+10% + 이격+5 + 종가상승3",53.1,98,2.0,0.90
"60위 + 이격-5 + 종가하락2",53.1,49,2.0,0.15
"RSI과매도30 + 음봉4 + 이격-10",53.1,49,2.0,-0.59
"5%하락 + 60아래 + 고변동8",53.1,49,2.0,1.35
"60아래 + 갭하락2 + 종가하락2",53.1,98,2.0,0.34
"60위 + RSI과매수70 + 양봉2",53.1,262,2.0,0.48
"3%상승 + 양봉1 + 종가상승3",53.0,149,1.9,0.58
"60위 + RSI과매수70 + 갭상승1",53.0,232,1.9,0.32
"60위 + 갭상승1 + 이격+10",53.0,232,1.9,0.40
"5%상승 + RSI과매수70 + 양봉1",53.0,83,1.9,0.43
"5일+15% + 60위 + 종가상승2",53.0,83,1.9,0.87
"RSI과매수80 + 갭상승1 + 종가상승2",53.0,83,1.9,0.28
"3%상승 + 50고점 + 이격+10",53.0,83,1.9,0.43
"60위 + 음봉1 + 음봉3",53.0,200,1.9,0.21
"60위 + 음봉2 + 음봉3",53.0,200,1.9,0.21
"60위 + 음봉3",53.0,200,1.9,0.21
"3%하락 + 60아래 + 이격-5",53.0,217,1.9,0.66
"RSI과매수80 + 양봉2 + 종가상승2",53.0,117,1.9,0.39
"5%하락 + 고변동5 + 이격-5",53.0,117,1.9,0.98
"60위 + 음봉1 + 이격+5",53.0,385,1.9,0.51
"고변동5 + 고변동8 + 음봉1",53.0,134,1.9,0.39
"고변동8 + 음봉1",53.0,134,1.9,0.39
"20위 + 양봉3 + 이격+10",53.0,134,1.9,0.53
"양봉1 + 양봉3 + 이격+10",53.0,134,1.9,0.53
"양봉2 + 양봉3 + 이격+10",53.0,134,1.9,0.53
"양봉3 + 이격+10",53.0,134,1.9,0.53
"양봉3 + 이격+10 + 이격+5",53.0,134,1.9,0.53
"음봉1 + 종가하락2",53.0,721,1.9,0.17
"갭상승1 + 양봉1 + 이격+10",53.0,151,1.9,0.30
"20위 + 60아래 + 양봉2",53.0,151,1.9,0.22
"3%상승 + 갭상승1 + 이격+5",53.0,185,1.9,0.56
"양봉2 + 이격+10 + 종가상승2",53.0,185,1.9,0.34
"RSI과매수70 + 갭상승1 + 이격+5",53.0,236,1.9,0.35
"갭상승1 + 음봉2 + 종가하락2",52.9,68,1.8,-0.55
"20위 + RSI과매수70 + 고변동8",52.9,51,1.8,0.19
"5일+15% + 양봉2 + 이격+10",52.9,68,1.8,0.43
"60위 + RSI과매수70 + 고변동8",52.9,51,1.8,0.19
"RSI과매수70 + 고변동5 + 고변동8",52.9,51,1.8,0.19
"RSI과매수70 + 고변동8",52.9,51,1.8,0.19
"RSI과매수70 + 고변동8 + 이격+5",52.9,51,1.8,0.19
"고변동5 + 양봉2 + 이격+5",52.9,119,1.8,-0.01
"20고점 + 60위 + 갭상승1",52.9,85,1.8,0.42
"20위 + 고변동5 + 종가상승3",52.9,102,1.8,0.19
"5일+15% + 양봉2 + 종가상승3",52.9,51,1.8,0.79
"갭하락1 + 거래량1.5 + 고변동8",52.9,34,1.8,0.22
"갭하락2 + 음봉2 + 이격-10",52.9,34,1.8,0.39
"20아래 + RSI과매도20 + 갭하락1",52.9,34,1.8,0.16
"60아래 + RSI과매도20 + 갭하락1",52.9,34,1.8,0.16
"RSI과매도20 + RSI과매도30 + 갭하락1",52.9,34,1.8,0.16
"RSI과매도20 + 갭하락1",52.9,34,1.8,0.16
"RSI과매도20 + 갭하락1 + 이격-5",52.9,34,1.8,0.16
"20고점 + 3일+10% + 5일+15%",52.9,34,1.8,1.02
"3%상승 + 5%상승 + 종가상승2",52.9,138,1.8,0.58
"5%상승 + 종가상승2",52.9,138,1.8,0.58
"60위 + RSI과매수80 + 이격+5",52.9,276,1.8,0.28
"20아래 + 갭상승1 + 음봉1",52.9,242,1.8,0.17
"3%하락 + 음봉1 + 이격-5",52.9,242,1.8,0.58
"10_20하향 + 20아래",52.9,87,1.8,-0.13
"10일+20% + 갭상승1 + 종가상승2",52.9,87,1.8,0.38
"20위 + RSI과매수80 + 양봉3",52.9,87,1.8,0.50
"RSI과매수70 + RSI과매수80 + 양봉3",52.9,87,1.8,0.50
"RSI과매수80 + 양봉1 + 양봉3",52.9,87,1.8,0.50
"RSI과매수80 + 양봉2 + 양봉3",52.9,87,1.8,0.50
"RSI과매수80 + 양봉3",52.9,87,1.8,0.50
"RSI과매수80 + 양봉3 + 이격+5",52.9,87,1.8,0.50
"음봉2 + 이격-5 + 종가하락2",52.9,244,1.8,0.10
"RSI과매도30 + 음봉3 + 종가하락2",52.9,70,1.8,-0.23
"5일+15% + 60위 + RSI과매수80",52.9,70,1.8,0.77
"RSI과매수70 + 갭상승1 + 양봉1",52.9,140,1.8,0.33
"3%상승 + 60아래",52.9,210,1.8,0.53
"20위 + 5%상승 + 종가상승2",52.8,106,1.7,0.46
"3일+10% + 60위 + 7%상승",52.8,53,1.7,0.80
"60위 + 고변동5 + 음봉3",52.8,53,1.7,0.49
"RSI과매수70 + 갭상승2 + 종가상승3",52.8,53,1.7,0.82
"3%상승 + 갭상승1 + 이격-5",52.8,53,1.7,0.37
"3%상승 + 양봉1 + 이격+10",52.8,195,1.7,0.41
"20위 + 고변동5",52.8,479,1.7,0.24
"20아래 + 5%하락 + 고변동5",52.8,142,1.7,0.89
"갭상승1 + 양봉1 + 종가상승2",52.8,231,1.7,0.38
"60아래 + RSI과매도30 + 음봉1",52.8,231,1.7,0.31
"20아래 + 갭상승2 + 음봉1",52.8,89,1.7,0.35
"10_20상향 + 20위",52.8,89,1.7,0.41
"20위 + 갭상승2 + 이격+5",52.8,178,1.7,0.68
"RSI과매수70 + 양봉2 + 이격+5",52.8,267,1.7,0.49
"갭상승1 + 갭상승2 + 이격+5",52.8,178,1.7,0.68
"갭상승2 + 이격+5",52.8,178,1.7,0.68
"3%하락 + 갭하락2 + 이격-5",52.8,89,1.7,0.46
"5일+15% + 양봉1",52.8,125,1.7,0.47
"20아래 + 3%상승 + 양봉1",52.8,161,1.7,0.28
"60아래 + 고변동5 + 음봉1",52.8,305,1.7,0.35
"20아래 + 7%하락 + 고변동5",52.8,72,1.7,0.85
"5_10상향 + 양봉1 + 종가상승2",52.8,72,1.7,0.39
"20위 + 3%상승 + 이격+5",52.8,324,1.7,0.54
"3%상승 + 이격+5",52.8,324,1.7,0.54
"20위 + RSI과매수70 + RSI과매수80",52.8,288,1.7,0.35
"20위 + RSI과매수80",52.8,288,1.7,0.35
"3일+10% + 5일+15%",52.8,108,1.7,0.91
"RSI과매수70 + RSI과매수80",52.8,288,1.7,0.35
"RSI과매수80",52.8,288,1.7,0.35
"RSI과매수70 + 갭하락2 + 이격+5",52.8,36,1.7,-0.14
"20위 + 고변동8 + 음봉1",52.8,36,1.7,-0.13
"50고점 + 갭상승1 + 종가상승3",52.8,36,1.7,0.36
"5일+15% + RSI과매수70 + 양봉3",52.8,36,1.7,0.50
"60위 + 갭하락1 + 음봉3",52.8,36,1.7,0.35
"20아래 + 60위 + 종가하락4",52.8,36,1.7,0.52
"고변동8 + 음봉3 + 이격-5",52.8,36,1.7,0.42
"3%하락 + 갭하락2 + 고변동8",52.8,36,1.7,0.68
"갭하락1 + 음봉3 + 이격-10",52.8,36,1.7,-0.22
"RSI과매도30 + 갭상승1 + 음봉2",52.8,36,1.7,-0.95
"3일+10% + 5%상승 + 양봉3",52.8,36,1.7,0.40
"20아래 + 60아래 + 종가하락2",52.8,451,1.7,0.15
"20아래 + 60아래 + 갭하락2",52.8,163,1.7,0.42
"20위 + 60아래 + 음봉1",52.8,163,1.7,0.18
"20위 + RSI과매수80 + 고변동5",52.7,91,1.6,0.02
"RSI과매수70 + RSI과매수80 + 고변동5",52.7,91,1.6,0.02
"RSI과매수80 + 고변동5",52.7,91,1.6,0.02
"RSI과매수80 + 고변동5 + 이격+10",52.7,91,1.6,0.02
"RSI과매수80 + 고변동5 + 이격+5",52.7,91,1.6,0.02
"음봉1 + 이격-5 + 종가하락2",52.7,292,1.6,0.20
"3%상승 + 5일+15% + 양봉2",52.7,55,1.6,0.15
"5일+15% + 60위 + 갭상승2",52.7,55,1.6,0.47
"20고점 + 20위 + RSI과매수80",52.7,110,1.6,0.32
"20고점 + RSI과매수70 + RSI과매수80",52.7,110,1.6,0.32
"20고점 + RSI과매수80",52.7,110,1.6,0.32
"20고점 + RSI과매수80 + 이격+5",52.7,110,1.6,0.32
"60아래 + 음봉4 + 이격-10",52.7,55,1.6,-0.47
"RSI과매도30 + 음봉1 + 이격-5",52.7,239,1.6,0.21
"60위 + 음봉2 + 이격+5",52.7,129,1.6,0.53
"20고점 + 3%상승 + 양봉1",52.7,148,1.6,0.51
"10일+20% + 20위 + 거래량1.5",52.7,74,1.6,0.25
"10일+20% + 60위 + 거래량1.5",52.7,74,1.6,0.25
"10일+20% + 거래량1.5",52.7,74,1.6,0.25
"10일+20% + 거래량1.5 + 이격+10",52.7,74,1.6,0.25
"10일+20% + 거래량1.5 + 이격+5",52.7,74,1.6,0.25
"3일+10% + 5일+15% + 종가상승2",52.7,74,1.6,1.16
"갭상승2 + 양봉1 + 이격+10",52.7,74,1.6,0.33
"20아래 + 60위 + 종가하락3",52.7,74,1.6,0.57
"60아래 + 갭상승1 + 이격-10",52.7,74,1.6,0.49
"갭하락1 + 갭하락2 + 양봉1",52.7,167,1.6,0.11
"갭하락2 + 양봉1",52.7,167,1.6,0.11
"20아래 + 60위 + 음봉3",52.7,93,1.6,0.08
"20아래 + 음봉3 + 이격-5",52.7,205,1.6,0.02
"음봉1 + 음봉3 + 이격-5",52.7,205,1.6,0.02
"음봉2 + 음봉3 + 이격-5",52.7,205,1.6,0.02
"음봉3 + 이격-5",52.7,205,1.6,0.02
"20위 + 3일+10% + 종가상승3",52.7,112,1.6,0.77
"5%하락 + 60아래 + 이격-5",52.7,112,1.6,0.98
"20아래 + 5%하락 + 60아래",52.7,131,1.6,0.85
"60위 + 갭상승1 + 종가상승2",52.7,281,1.6,0.36
"20아래 + 이격-5 + 종가하락2",52.6,359,1.5,0.20
"이격-5 + 종가하락2",52.6,359,1.5,0.20
"20아래 + 5_10상향",52.6,76,1.5,0.18
"60위 + 고변동5 + 고변동8",52.6,114,1.5,0.21
"60위 + 고변동8",52.6,114,1.5,0.21
"20위 + 5_20상향 + 양봉1",52.6,76,1.5,-0.07
"10_20상향 + 양봉1",52.6,57,1.5,0.37
"3%상승 + RSI과매수80 + 고변동5",52.6,57,1.5,0.10
